country,sex,age,marriage_duration,n_children,n_broughtup_children,education,material_status,religion,religiousity,pension,mrq,kansas,age_at_marriage
Brazil,male,21,2,0,0,5,3,1.0,4,4,1.2222222222222223,7.0,19
Brazil,male,29,3,1,0,5,3,1.0,6,5,1.1111111111111112,6.0,26
Brazil,male,30,7,0,0,5,3,1.0,4,4,1.3333333333333333,7.0,23
Brazil,male,30,7,1,1,5,3,1.0,6,7,1.2222222222222223,6.0,23
Brazil,male,28,9,0,0,4,2,1.0,5,7,1.2222222222222223,6.666666666666667,19
Brazil,male,39,9,1,0,5,3,1.0,6,4,1.1111111111111112,5.666666666666667,30
Brazil,male,30,7,2,2,5,3,1.0,5,3,1.3333333333333333,4.0,23
Brazil,male,40,20,2,2,5,3,1.0,7,6,1.0,7.0,20
Brazil,female,43,22,2,2,4,3,1.0,5,5,1.7777777777777777,3.0,21
Brazil,female,34,2,1,0,5,2,1.0,4,3,2.5555555555555554,1.0,32
Brazil,female,52,27,2,0,3,2,1.0,1,7,1.1111111111111112,6.666666666666667,25
Brazil,male,33,4,1,1,5,3,1.0,4,6,1.0,6.0,29
Brazil,male,32,1,0,0,5,2,1.0,7,3,1.0,7.0,31
Brazil,male,32,1,0,0,5,2,1.0,5,2,1.0,6.0,31
Brazil,male,29,5,1,1,5,2,1.0,7,2,1.1111111111111112,7.0,24
Brazil,male,48,24,2,0,5,2,1.0,3,7,1.0,7.0,24
Brazil,male,47,15,2,2,5,2,2.0,6,1,1.3333333333333333,7.0,32
Brazil,male,24,2,0,0,5,3,2.0,7,3,1.2222222222222223,5.666666666666667,22
Brazil,male,37,7,0,0,5,2,2.0,4,6,1.0,7.0,30
Brazil,male,31,4,0,0,5,1,2.0,5,7,1.5555555555555556,5.0,27
Brazil,male,31,5,1,1,5,2,2.0,4,7,1.0,6.0,26
Brazil,male,19,2,0,0,4,3,2.0,5,6,2.2222222222222223,5.333333333333333,17
Brazil,male,30,1,0,0,5,3,2.0,4,7,1.5555555555555556,4.0,29
Brazil,male,30,2,0,0,5,1,2.0,4,2,1.4444444444444444,5.0,28
Brazil,male,28,6,0,0,5,2,2.0,4,5,1.0,7.0,22
Brazil,female,26,1,0,0,5,3,2.0,4,7,1.1111111111111112,7.0,25
Brazil,male,40,17,1,1,5,2,2.0,3,6,2.5555555555555554,2.3333333333333335,23
Brazil,male,32,2,0,0,5,3,2.0,4,7,1.0,7.0,30
Brazil,male,34,6,1,1,5,3,2.0,4,2,1.4444444444444444,6.0,28
Brazil,male,29,1,0,0,5,2,2.0,3,7,1.2222222222222223,6.0,28
Brazil,female,33,15,0,0,5,2,2.0,4,3,2.111111111111111,5.0,18
Brazil,male,31,8,0,0,5,2,2.0,2,4,1.2222222222222223,7.0,23
Brazil,male,34,8,1,1,5,2,2.0,4,2,1.1111111111111112,7.0,26
Brazil,male,52,22,1,1,5,3,2.0,5,3,3.5555555555555554,1.0,30
Brazil,female,60,26,2,0,5,3,2.0,5,3,1.3333333333333333,5.0,34
